city,state,latitude,longitude
Abbeville,GA,31.96737369,-83.32939533
Acworth,GA,34.06303621,-84.66397131
Adairsville,GA,34.36718335,-84.92485004
Adel,GA,31.1317872,-83.42589368
Adrian,GA,32.55091863,-82.59129489
Ailey,GA,32.18709676,-82.51348281
Alamo,GA,32.13900045,-82.78748184
Alapaha,GA,31.38536892,-83.22098432
Albany,GA,31.57083613,-84.166762
Allenhurst,GA,31.76386835,-81.61824136
Allentown,GA,32.60089864,-83.22560986
Alma,GA,31.54576563,-82.46122899
Alpharetta,GA,34.08106531,-84.26098123
Alston,GA,32.08032383,-82.477639
Alto,GA,34.45536544,-83.59123049
Ambrose,GA,31.56715634,-83.00538356
Americus,GA,32.07210545,-84.22713961
Andersonville,GA,32.1965974,-84.13012381
Appling,GA,33.59869976,-82.32774081
Arabi,GA,31.83350929,-83.72855271
Aragon,GA,34.07176361,-85.07315646
Arcade,GA,34.08776616,-83.57745227
Argyle,GA,31.07178427,-82.64918585
Arlington,GA,31.43316849,-84.71195413
Armuchee,GA,34.42329955,-85.16805007
Arnoldsville,GA,33.88904941,-83.22390032
Ashburn,GA,31.70462395,-83.65775684
Athens,GA,33.95225076,-83.39025511
Atlanta,GA,33.77875617,-84.40139723
Attapulgus,GA,30.74882617,-84.49335323
Auburn,GA,34.02627173,-83.84471417
Augusta,GA,33.44794779,-82.0375642
Austell,GA,33.81610532,-84.60959848
Avalon,GA,34.52019961,-83.15878345
Avera,GA,33.16911563,-82.52519895
Avondale Estates,GA,33.77325859,-84.26173081
Axson,GA,31.3022689,-82.73950132
Baconton,GA,31.37971377,-84.12658822
Bainbridge,GA,30.89067845,-84.58377874
Baldwin,GA,34.4689889,-83.50809819
Ball Ground,GA,34.32640221,-84.35238497
Barnesville,GA,33.05770206,-84.14556553
Barney,GA,30.99900966,-83.52095152
Bartow,GA,32.89776726,-82.49893423
Barwick,GA,30.89591042,-83.7433706
Baxley,GA,31.78370071,-82.35180443
Bellville,GA,32.152548,-81.974024
Berkeley Lake,GA,33.98204563,-84.18372711
Berlin,GA,31.07123795,-83.62385805
Bethlehem,GA,33.92950335,-83.76781737
Between,GA,33.80540132,-83.73079987
Big Canoe,GA,34.45834317,-84.39667271
Bishop,GA,33.82103527,-83.483411
Black Creek,GA,32.20913455,-81.47869963
Blackshear,GA,31.28917656,-82.26312901
Blairsville,GA,34.87371781,-83.9986507
Blakely,GA,31.3479618,-84.94261341
Bloomingdale,GA,32.12858891,-81.33797942
Blue Ridge,GA,34.86170162,-84.3384676
Bluffton,GA,31.53344739,-84.86501277
Blythe,GA,33.3008908,-82.18372217
Bogart,GA,33.92762731,-83.52428942
Bonaire,GA,32.54875256,-83.6109542
Boston,GA,30.81207631,-83.79585025
Bowdon,GA,33.5334399,-85.25415462
Bowersville,GA,34.37280599,-83.03753152
Bowman,GA,34.19253814,-83.03505978
Box Springs,GA,32.52198616,-84.59192206
Braselton,GA,34.12588634,-83.80151005
Braswell,GA,33.94207906,-85.0064788
Bremen,GA,33.73073432,-85.13467187
Bridgeboro,GA,31.41439531,-83.98343228
Brinson,GA,30.93702499,-84.72038587
Bristol,GA,31.50521148,-82.17970527
Bronwood,GA,31.82459419,-84.3580108
Brookfield,GA,31.4175402,-83.3935732
Brookhaven,GA,33.87101115,-84.33247414
Brooklet,GA,32.34149047,-81.62598464
Brooks,GA,33.27645027,-84.4677086
Broxton,GA,31.64103495,-82.8853522
Brunswick,GA,31.20893585,-81.51919019
Buchanan,GA,33.84148652,-85.19263223
Buckhead,GA,33.52165406,-83.3257769
Buena Vista,GA,32.31574341,-84.51262052
Buford,GA,34.09961572,-83.96654137
Butler,GA,32.56815914,-84.23948965
Byromville,GA,32.21317271,-83.90490303
Byron,GA,32.64427441,-83.7541161
Cadwell,GA,32.32085366,-83.02647964
Cairo,GA,30.87150986,-84.20508347
Calhoun,GA,34.49784784,-84.92467807
Calvary,GA,30.726392,-84.346204
Camak,GA,33.45400652,-82.64790858
Camilla,GA,31.22032261,-84.2297031
Canon,GA,34.34217944,-83.08596084
Canton,GA,34.21558848,-84.4709996
Carl,GA,34.002967,-83.815676
Carlton,GA,34.0031708,-83.00403509
Carnesville,GA,34.36753099,-83.28463514
Carrollton,GA,33.58373347,-85.06698172
Cartersville,GA,34.18874104,-84.8208907
Cataula,GA,32.64971731,-84.90013943
Cave Spring,GA,34.12256555,-85.34314578
Cecil,GA,31.045737,-83.393482
Cedar Springs,GA,31.183814,-85.037068
Cedartown,GA,34.01240646,-85.2512902
Centerville,GA,32.63151649,-83.68409215
Centralhatchee,GA,33.30424958,-85.15388315
Chamblee,GA,33.8893694,-84.29494146
Chatsworth,GA,34.77159355,-84.78845138
Chattahoochee Hills,GA,33.52860277,-84.73495439
Chauncey,GA,32.11880131,-83.06444182
Cherry Log,GA,34.80007066,-84.36127706
Chester,GA,32.40521872,-83.17916822
Chickamauga,GA,34.85461151,-85.31878135
Chula,GA,31.57555026,-83.5022139
Cisco,GA,34.9476512,-84.72215099
Clarkdale,GA,33.83011507,-84.65299865
Clarkesville,GA,34.67144791,-83.53206386
Clarkston,GA,33.80675209,-84.23789445
Claxton,GA,32.16800946,-81.91275384
Clayton,GA,34.88121892,-83.41355585
Clermont,GA,34.47715201,-83.78829729
Cleveland,GA,34.59110392,-83.75734784
Climax,GA,30.88162429,-84.42755651
Clinchfield,GA,32.400852,-83.664138
Cloudland,GA,34.62812271,-85.48495022
Clyo,GA,32.47574726,-81.29434934
Cobb,GA,31.96639889,-83.94959846
Cobbtown,GA,32.3006303,-82.14209757
Cochran,GA,32.395196,-83.33151252
Cohutta,GA,34.93674467,-84.94126209
Colbert,GA,34.0347986,-83.22386985
Coleman,GA,31.65784964,-84.87150745
College Park,GA,33.61613007,-84.49097578
Collins,GA,32.17049502,-82.11166469
Colquitt,GA,31.15697873,-84.70647249
Columbus,GA,32.4930614,-84.93619615
Comer,GA,34.07481412,-83.1200734
Commerce,GA,34.21282198,-83.44023114
Concord,GA,33.10045032,-84.4531093
Conley,GA,33.64940922,-84.32363524
Conyers,GA,33.64419612,-84.01603974
Coolidge,GA,31.0024515,-83.87603729
Cordele,GA,31.95077546,-83.79189319
Cornelia,GA,34.51770622,-83.55546085
Covena,GA,32.6163972,-82.356611
Covington,GA,33.56306962,-83.90182272
Crandall,GA,34.93188458,-84.77078503
Crawford,GA,33.90549071,-83.15581392
Crawfordville,GA,33.5717719,-82.8764976
Crescent,GA,31.510961,-81.377824
Culloden,GA,32.85288813,-84.09929157
Cumming,GA,34.21074212,-84.15455849
Cusseta,GA,32.29552484,-84.75584434
Cuthbert,GA,31.76714546,-84.78101252
Dacula,GA,34.00028833,-83.89625222
Dahlonega,GA,34.53157459,-83.98369049
Dallas,GA,33.94150625,-84.81683155
Dalton,GA,34.78033612,-84.95025764
Damascus,GA,31.29421646,-84.68413746
Danburg,GA,33.980743,-82.67935
Danielsville,GA,34.17061561,-83.24986916
Danville,GA,32.60677291,-83.25859022
Darien,GA,31.39384184,-81.41971724
Davisboro,GA,32.96331536,-82.62432162
Dawson,GA,31.76481894,-84.42917008
Dawsonville,GA,34.39817252,-84.08227435
De Soto,GA,31.93264298,-84.04730349
Dearing,GA,33.3978058,-82.3991831
Decatur,GA,33.74340651,-84.26234164
Deepstep,GA,33.060163,-82.976854
Dekalb,GA,33.7070128,-84.1239963
Demorest,GA,34.57843691,-83.56890865
Denton,GA,31.72963436,-82.73584019
Dewy Rose,GA,34.1998059,-82.94724168
Dexter,GA,32.42723634,-83.05124761
Dillard,GA,34.98250986,-83.35004184
Dixie,GA,30.80677818,-83.68223198
Doerun,GA,31.32967111,-83.91703908
Donalsonville,GA,30.93512722,-84.87233135
Dooling,GA,32.227759,-83.926685
Doraville,GA,33.90940639,-84.26184593
Douglas,GA,31.5006343,-82.85257638
Douglasville,GA,33.72658033,-84.74549934
Dry Branch,GA,32.74196847,-83.49497502
Du Pont,GA,30.95734115,-82.86526167
Dublin,GA,32.53726903,-82.92548377
Dudley,GA,32.52890246,-83.0877746
Duluth,GA,33.99908812,-84.14583404
Dunwoody,GA,33.94292734,-84.31289261
E Dublin,GA,32.5579832,-82.7984614
East Dublin,GA,32.56003882,-82.82731067
East Ellijay,GA,34.68156972,-84.49129029
East Point,GA,33.67810727,-84.45561967
Eastanollee,GA,34.50927271,-83.26935702
Eastman,GA,32.20242886,-83.18885724
Eatonton,GA,33.31754834,-83.31840944
Eden,GA,32.18111709,-81.39723579
Edge Hill,GA,33.15177771,-82.62400976
Edison,GA,31.56535221,-84.7417169
Elberton,GA,34.11274403,-82.83993618
Elko,GA,32.3396717,-83.74778653
Ellabell,GA,32.1810449,-81.48994951
Ellaville,GA,32.24463454,-84.30024822
Ellenton,GA,31.1776198,-83.5873644
Ellenwood,GA,33.63801813,-84.26281905
Ellerslie,GA,32.6350522,-84.7923644
Ellijay,GA,34.67768129,-84.48746844
Emerson,GA,34.12177102,-84.75929026
Enigma,GA,31.42318521,-83.34421794
Epworth,GA,34.92767632,-84.4249452
Euharlee,GA,34.15736866,-84.92143098
Evans,GA,33.55261092,-82.15671933
Fairburn,GA,33.57859025,-84.59680609
Fairmount,GA,34.4381186,-84.69841884
Fargo,GA,30.69112802,-82.59400103
Fayetteville,GA,33.44525965,-84.46432183
Fitzgerald,GA,31.72323815,-83.25020242
Fleming,GA,31.87173485,-81.42779873
Flemington,GA,31.86163985,-81.56313229
Flintstone,GA,34.92582762,-85.34714046
Flovilla,GA,33.25077059,-83.89659358
Flowery Branch,GA,34.17277477,-83.904144
Folkston,GA,30.84877986,-82.00876988
Forest Park,GA,33.61347049,-84.36424089
Forsyth,GA,33.05857889,-83.93813791
Fort Gaines,GA,31.6474263,-85.04497105
Fort Oglethorpe,GA,34.95196219,-85.24500921
Fort Valley,GA,32.56301787,-83.87771423
Fortson,GA,32.63149505,-84.98773244
Franklin,GA,33.3024159,-85.11968446
Gainesville,GA,34.30653363,-83.85898204
Garden City,GA,32.10455407,-81.16186778
Garfield,GA,32.6494226,-82.02263693
Gay,GA,33.1430833,-84.59044998
Geneva,GA,32.5762485,-84.5590355
Georgetown,GA,31.84157699,-85.09578813
Gibson,GA,33.24197233,-82.5868581
Gillsville,GA,34.28581115,-83.66644649
Girard,GA,33.04695449,-81.70073777
Glennville,GA,31.93565748,-81.93825907
Glenwood,GA,32.20712417,-82.70263256
Good Hope,GA,33.77559694,-83.57532421
Gordon,GA,32.91590665,-83.31638203
Grantville,GA,33.23122012,-84.82228906
Gray,GA,32.99508234,-83.55461168
Grayson,GA,33.88823276,-83.96468749
Graysville,GA,34.97632681,-85.14130938
Greensboro,GA,33.49380535,-83.21247146
Greenville,GA,33.0587752,-84.73276744
Griffin,GA,33.25642491,-84.26498963
Grovetown,GA,33.47430113,-82.21009239
Guyton,GA,32.26116321,-81.34864756
Haddock,GA,33.04786177,-83.4241536
Hahira,GA,30.97440655,-83.35718697
Hamilton,GA,32.73915071,-84.92777555
Hampton,GA,33.42270094,-84.31049837
Hapeville,GA,33.6640296,-84.40693403
Harlem,GA,33.43482926,-82.31119727
Harrison,GA,32.84827253,-82.70823135
Hartsfield,GA,31.1786872,-83.95654899
Hartwell,GA,34.37353978,-82.92133587
Hawkinsville,GA,32.29056102,-83.50043592
Hazlehurst,GA,31.85339142,-82.59097978
Helen,GA,34.70637965,-83.7278841
Helena,GA,32.11654226,-82.9182044
Hephzibah,GA,33.33810953,-82.07858609
Hiawassee,GA,34.92811003,-83.73756804
Hillsboro,GA,33.16608065,-83.62759114
Hiltonia,GA,32.88267495,-81.65923933
Hinesville,GA,31.8272407,-81.61842365
Hiram,GA,33.86693159,-84.77625143
Hoboken,GA,31.18094898,-82.13806435
Hogansville,GA,33.17023779,-84.92482845
Holly Springs,GA,34.17264301,-84.46862449
Homeland,GA,30.85817093,-82.02156851
Homer,GA,34.35779591,-83.47561668
Homerville,GA,31.03859365,-82.74572128
Hortense,GA,31.31049481,-81.82608211
Hoschton,GA,34.09490164,-83.78940211
Hull,GA,34.05463813,-83.3061963
Ideal,GA,32.37566952,-84.17948901
Ila,GA,34.053806,-83.33236
Iron City,GA,31.01728272,-84.80260108
Irwinton,GA,32.79162593,-83.17987031
Ivey,GA,32.91049542,-83.30278907
Jackson,GA,33.30243109,-83.96597568
Jacksonville,GA,31.8500563,-82.96825768
Jakin,GA,31.12170175,-84.98685023
Jasper,GA,34.45579188,-84.42743813
Jefferson,GA,34.10515676,-83.60049124
Jeffersonville,GA,32.66355771,-83.34815143
Jekyll Island,GA,31.07182476,-81.41096172
Jenkinsburg,GA,33.31772887,-84.0358304
Jesup,GA,31.62367303,-81.8945833
Jewell,GA,33.29619861,-82.77764227
Johns Creek,GA,34.03911521,-84.20094938
Jonesboro,GA,33.51444054,-84.35299949
Juliette,GA,33.01227057,-83.77768655
Junction City,GA,32.62555523,-84.42235309
Juniper,GA,32.53872386,-84.514379
Kathleen,GA,32.51779229,-83.65946991
Kennesaw,GA,34.0219936,-84.62018375
Keysville,GA,33.17099045,-82.17334786
Kings Bay,GA,30.79834,-81.534
Kingsland,GA,30.79813138,-81.67022215
Kingston,GA,34.24029732,-84.98644547
Kite,GA,32.67842887,-82.51627708
Knoxville,GA,32.73544473,-83.94758851
LaFayette,GA,34.70523298,-85.25799486
LaGrange,GA,33.03715025,-85.03693625
Lake City,GA,33.60750449,-84.34784738
Lake Park,GA,30.69916079,-83.18232226
Lake Spivey,GA,33.51992414,-84.30534325
Lakeland,GA,31.05286619,-83.08613905
Lakemont,GA,34.77359569,-83.43623958
Lavonia,GA,34.46148314,-83.08680478
Lawrenceville,GA,33.9560507,-84.01478035
Leary,GA,31.45287527,-84.52163076
Leesburg,GA,31.6762813,-84.17071241
Lenox,GA,31.28679262,-83.45495913
Leslie,GA,31.96425538,-84.10118769
Lexington,GA,33.88701618,-83.06469457
Lilburn,GA,33.87321145,-84.11547153
Lincolnton,GA,33.77597597,-82.42834965
Lindale,GA,34.16562086,-85.18894578
Lithia Springs,GA,33.76903984,-84.65075293
Lithonia,GA,33.71178803,-84.13438478
Lizella,GA,32.78343282,-83.81148063
Locust Grove,GA,33.35241596,-84.1159525
Loganville,GA,33.83425981,-83.90726499
Lone Oak,GA,33.17279428,-84.81750172
Lookout Mountain,GA,34.94631891,-85.38346474
Louisville,GA,33.0207019,-82.39691394
Ludowici,GA,31.76509916,-81.73183992
Lula,GA,34.39489311,-83.66405632
Lumber City,GA,31.93162304,-82.70847594
Lumpkin,GA,32.0513203,-84.80321728
Luthersville,GA,33.1902459,-84.71739864
Lyerly,GA,34.38993828,-85.40958869
Lyons,GA,32.17908113,-82.30831791
Mableton,GA,33.81570029,-84.5524729
Macon,GA,32.83675663,-83.67159392
Madison,GA,33.59666467,-83.46418215
Manchester,GA,32.86124785,-84.61547687
Manor,GA,31.1322496,-82.58937191
Mansfield,GA,33.47103824,-83.76705263
Marble Hill,GA,34.44021186,-84.28350922
Marietta,GA,33.96798599,-84.516268
Marshallville,GA,32.44769988,-83.93351568
Martin,GA,34.51352019,-83.15803486
Martinez,GA,33.51769233,-82.1040333
Matthews,GA,33.24441179,-82.31676073
Mauk,GA,32.49310637,-84.44820934
Maxeys,GA,33.75385615,-83.16642913
Mayfield,GA,33.21789485,-83.2146485
Maysville,GA,34.26068071,-83.56409995
McCaysville,GA,34.97604314,-84.39458387
McIntyre,GA,32.86825098,-83.20474484
McRae-Helena,GA,32.05047611,-82.89852446
McDonough,GA,33.45830869,-84.13420098
Meansville,GA,33.01813503,-84.31924599
Meigs,GA,31.08373025,-84.04271796
Meldrim,GA,32.1414108,-81.3782943
Menlo,GA,34.56162969,-85.47829929
Mershon,GA,31.48776385,-82.26706474
Mesena,GA,33.4589555,-82.590346
Metcalf,GA,30.70524819,-83.98840567
Metter,GA,32.40762002,-82.05971836
Midland,GA,32.56652489,-84.8336294
Midville,GA,32.8027744,-82.23170366
Midway,GA,31.79780994,-81.39190948
Milan,GA,31.99821771,-83.05864311
Milledgeville,GA,33.1006889,-83.24867775
Millen,GA,32.79621077,-81.96106835
Millwood,GA,31.28069924,-82.61477175
Milner,GA,33.14034583,-84.18607635
Milton,GA,34.12673921,-84.29804351
Mineral Bluff,GA,34.94673,-84.28105416
Mitchell,GA,33.23541792,-82.7083405
Molena,GA,33.00212912,-84.45402295
Monroe,GA,33.81303037,-83.72317806
Montezuma,GA,32.29897245,-84.00344939
Monticello,GA,33.33275865,-83.74192773
Montrose,GA,32.57257667,-83.14689532
Moreland,GA,33.26967501,-84.74706539
Morgan,GA,31.55255575,-84.60536175
Morganton,GA,34.89485583,-84.19948844
Morris,GA,31.79548629,-84.95998229
Morrow,GA,33.58399132,-84.32626776
Morven,GA,30.9328336,-83.51090913
Moultrie,GA,31.16384228,-83.77945862
Mount Airy,GA,34.56197725,-83.47280494
Mount Vernon,GA,32.1802531,-82.58648828
Mountain Park,GA,34.08249918,-84.4133037
Murrayville,GA,34.45842067,-83.89792228
Musella,GA,32.79079798,-83.98200357
Nahunta,GA,31.18225122,-81.9678407
Nashville,GA,31.19760978,-83.23409939
Naylor,GA,30.94063327,-83.07370843
Nevils,GA,32.22817454,-81.75811488
Newborn,GA,33.49620888,-83.67536037
Newington,GA,32.5644468,-81.48416296
Newnan,GA,33.39494731,-84.77558859
Newton,GA,31.31634126,-84.39961619
Nicholls,GA,31.49781802,-82.64757742
Nicholson,GA,34.09413923,-83.42051333
Norcross,GA,33.9246547,-84.19393907
Norman Park,GA,31.24655232,-83.67020962
North High Shoals,GA,33.82016326,-83.49948819
Norwood,GA,33.47179886,-82.71786525
Oakfield,GA,31.70767387,-83.95663904
Oakman,GA,34.56711713,-84.70989419
Oakwood,GA,34.2379857,-83.89435731
Ochlocknee,GA,30.96749257,-84.05266023
Ocilla,GA,31.58531715,-83.27040956
Odum,GA,31.6857566,-82.02141388
Oglethorpe,GA,32.30863228,-84.09018768
Omaha,GA,32.14050618,-84.98937607
Omega,GA,31.33419869,-83.5996992
Oxford,GA,33.67285455,-83.87748682
Palmetto,GA,33.52464186,-84.68944294
Parrott,GA,31.91438037,-84.51828067
Patterson,GA,31.38290827,-82.11983919
Pavo,GA,30.97395404,-83.73362095
Payne City,GA,32.85188833,-83.67974333
Peachtree City,GA,33.39952447,-84.5734288
Peachtree Corners,GA,33.97308026,-84.22918767
Pearson,GA,31.3098256,-82.86085949
Pelham,GA,31.1168319,-84.170876
Pembroke,GA,32.17313902,-81.63765631
Pendergrass,GA,34.17102252,-83.68118136
Perkins,GA,32.90225599,-81.87205383
Perry,GA,32.46713155,-83.72515554
Philomath,GA,33.73263914,-82.97367736
Pine Lake,GA,33.79179296,-84.20563467
Pine Mountain,GA,32.86399528,-84.8964895
Pine Mountain Valley,GA,32.80152551,-84.81800203
Pinehurst,GA,32.1865667,-83.76987191
Pineview,GA,32.1262778,-83.51590136
Pitts,GA,31.96415967,-83.57059874
Plainfield,GA,32.244659,-83.263275
Plains,GA,32.03071955,-84.38446842
Plainville,GA,34.41332833,-85.03432517
Pooler,GA,32.1047083,-81.2616437
Port Wentworth,GA,32.19098972,-81.19831593
Portal,GA,32.55172795,-81.93002809
Porterdale,GA,33.57275327,-83.89625525
Poulan,GA,31.53010402,-83.79062368
Powder Springs,GA,33.87766402,-84.69235003
Powersville,GA,32.60935593,-83.75890769
Preston,GA,32.05915259,-84.53915698
Pulaski,GA,32.38965249,-81.9561468
Quitman,GA,30.79199491,-83.54833759
Rabun Gap,GA,34.94513984,-83.40457303
Ranger,GA,34.53536897,-84.6949902
Ray City,GA,31.05778603,-83.20448745
Rayle,GA,33.77752921,-82.93058682
Raymond,GA,33.44282684,-84.78743889
Rebecca,GA,31.76283315,-83.46359109
Red Oak,GA,33.62520296,-84.5180535
Register,GA,32.34154968,-81.89418512
Reidsville,GA,32.06130903,-82.12145073
Rentz,GA,32.37596266,-82.95869326
Resaca,GA,34.60636735,-84.9143126
Rest Haven,GA,34.1424737,-83.9640217
Rex,GA,33.58107085,-84.27530911
Reynolds,GA,32.55544588,-84.11246492
Rhine,GA,31.96163809,-83.1766858
Riceboro,GA,31.72279802,-81.45517589
Richland,GA,32.09331895,-84.65885581
Richmond Hill,GA,31.89198556,-81.28883812
Rincon,GA,32.29322002,-81.23568679
Ringgold,GA,34.91818994,-85.15236947
Rising Fawn,GA,34.80228661,-85.47825185
Riverdale,GA,33.55707483,-84.42028051
Roberta,GA,32.70435591,-84.0321637
Rochelle,GA,31.94748129,-83.45527132
Rock Spring,GA,34.8107647,-85.21974922
Rockledge,GA,32.44841993,-82.72589662
Rockmart,GA,33.97008388,-85.05055475
Rocky Face,GA,34.77133399,-85.05351659
Rocky Ford,GA,32.68652859,-81.80709683
Rome,GA,34.26776814,-85.18429378
Roopville,GA,33.43665564,-85.16122082
Rossville,GA,34.95962384,-85.26971786
Roswell,GA,34.03809408,-84.35796737
Round Oak,GA,33.10242436,-83.61212521
Royston,GA,34.27422072,-83.14018336
Rupert,GA,32.41832823,-84.26077364
Rutledge,GA,33.61128521,-83.61071764
Rydal,GA,34.34237699,-84.733553
Saint George,GA,30.47458471,-82.10061527
Saint Marys,GA,30.7673437,-81.57523026
Saint Simons Island,GA,31.19010816,-81.38404024
Sale City,GA,31.26583719,-84.02980749
Sandersville,GA,32.98716462,-82.81884139
Sandy Springs,GA,33.93933226,-84.36370583
Sapelo Island,GA,31.42603866,-81.26171888
Sardis,GA,32.98325468,-81.77846708
Sasser,GA,31.719996,-84.347116
Sautee Nacoochee,GA,34.69600022,-83.6871511
Savannah,GA,32.02782406,-81.11456306
Scotland,GA,32.049982,-82.816574
Scottdale,GA,33.79183339,-84.25773154
Screven,GA,31.51234399,-82.03776511
Sea Island,GA,31.1992564,-81.33436351
Senoia,GA,33.28545682,-84.57957378
Shady Dale,GA,33.42524219,-83.63463886
Shannon,GA,34.34327777,-85.08637917
Sharpsburg,GA,33.39952314,-84.65270411
Shellman,GA,31.74760967,-84.61085779
Shellman Bluff,GA,31.57052054,-81.34107478
Shiloh,GA,32.81002579,-84.68625889
Silver Creek,GA,34.15094109,-85.14427843
Sky Valley,GA,34.98247975,-83.32579805
Smithville,GA,31.89681116,-84.25008085
Smoke Rise,GA,33.83990418,-84.16496166
Smyrna,GA,33.8675885,-84.51600959
Snellville,GA,33.82952217,-84.02837447
Social Circle,GA,33.64797468,-83.711307
Soperton,GA,32.3822251,-82.59288513
South Fulton,GA,33.64112994,-84.54665475
Sparks,GA,31.18740221,-83.42877741
Sparta,GA,33.2398704,-83.0783655
Springfield,GA,32.38351584,-81.31272063
St Simons Island,GA,31.18271903,-81.38172705
Stapleton,GA,33.20683171,-82.45382405
Statenville,GA,30.7141534,-83.020553
Statesboro,GA,32.43905524,-81.7773613
Statham,GA,33.95678718,-83.58899676
Stephens,GA,33.78156128,-83.14841064
Stillmore,GA,32.440011,-82.214763
Stillwell,GA,32.35551764,-81.30483738
Stockbridge,GA,33.54995808,-84.21551885
Stockton,GA,30.94065332,-83.00473679
Stone Mountain,GA,33.78931486,-84.17017901
Stone Mtn,GA,33.80439679,-84.09781426
Stonecrest,GA,33.68221061,-84.14214903
Stovall,GA,33.056764,-84.708761
Suches,GA,34.7335619,-84.07766834
Sugar Hill,GA,34.11069265,-84.05285793
Sugar Valley,GA,34.57005297,-85.02016151
Summerville,GA,34.4909376,-85.33494375
Sumner,GA,31.49801664,-83.73755995
Surrency,GA,31.74666185,-82.18766305
Suwanee,GA,34.06240997,-84.08763584
Swainsboro,GA,32.60350087,-82.33944817
Sycamore,GA,31.65813836,-83.59977832
Sylvania,GA,32.73790942,-81.63430382
Sylvester,GA,31.53996064,-83.86702243
Talbotton,GA,32.6802395,-84.5405999
Talking Rock,GA,34.52709613,-84.51102778
Tallapoosa,GA,33.75649623,-85.29454197
Tallulah Falls,GA,34.73712,-83.395496
Talmo,GA,34.20083367,-83.71936271
Tarrytown,GA,32.30912635,-82.50832132
Tate,GA,34.41861961,-84.38486189
Taylorsville,GA,34.11896692,-84.98221962
Temple,GA,33.76343673,-85.01640041
Tennille,GA,32.90533523,-82.82453085
The Rock,GA,32.9904642,-84.26193311
Thomaston,GA,32.90342779,-84.33468589
Thomasville,GA,30.84590861,-83.96646547
Thomson,GA,33.48274321,-82.49076961
Thunderbolt,GA,32.03772434,-81.04758085
Tifton,GA,31.456776,-83.50538471
Tiger,GA,34.83427457,-83.46398606
Tignall,GA,33.91034974,-82.65028736
Toccoa,GA,34.56387814,-83.30462465
Toomsboro,GA,32.81224518,-83.08012287
Townsend,GA,31.54854973,-81.37768302
Trenton,GA,34.89006161,-85.52622082
Trion,GA,34.56230862,-85.30007745
Tucker,GA,33.8574412,-84.21512407
Tunnel Hill,GA,34.86319696,-85.04060454
Twin City,GA,32.54433918,-82.16953151
Ty Ty,GA,31.46967093,-83.6577649
Tybee Island,GA,32.00667805,-80.8497947
Tyrone,GA,33.47568251,-84.58938407
Unadilla,GA,32.24750368,-83.72186066
Union City,GA,33.57774221,-84.54572668
Union Point,GA,33.63779454,-83.08602873
Upatoi,GA,32.56638721,-84.73689912
Uvalda,GA,32.01359053,-82.47335868
Valdosta,GA,30.85315791,-83.28226987
Vernonburg,GA,31.9913695,-81.07748775
Vidalia,GA,32.2136374,-82.41246513
Vienna,GA,32.08971168,-83.80489581
Villa Rica,GA,33.71758087,-84.92087089
Vinings,GA,33.86011437,-84.47300003
Waco,GA,33.66098797,-85.24355073
Wadley,GA,32.88014217,-82.40196543
Waleska,GA,34.31995178,-84.59275556
Walnut Grove,GA,33.82419332,-83.91913692
Warm Springs,GA,32.89506194,-84.70461989
Warner Robins,GA,32.6060716,-83.6561319
Warrenton,GA,33.3991867,-82.65257917
Warthen,GA,33.10696642,-82.80555445
Warwick,GA,31.81895826,-83.90475589
Washington,GA,33.73331439,-82.74078531
Watkinsville,GA,33.86016034,-83.42269253
Waverly,GA,31.08219958,-81.62510696
Waverly Hall,GA,32.67836333,-84.72773128
Waycross,GA,31.22104927,-82.36227492
Waynesboro,GA,33.09984573,-81.98238562
Waynesville,GA,31.20173022,-81.80474299
West Green,GA,31.61852755,-82.72172376
West Point,GA,32.87636357,-85.12445002
Weston,GA,31.97057794,-84.61904625
Whigham,GA,30.88136725,-84.32393395
White,GA,34.24851236,-84.71505988
White Oak,GA,31.01644535,-81.80987946
White Plains,GA,33.43778156,-83.10494093
Whitesburg,GA,33.52231937,-84.91583792
Wildwood,GA,34.9479662,-85.43993063
Willacoochee,GA,31.37568589,-83.00939958
Williamson,GA,33.17899421,-84.3745466
Wilmington Island,GA,32.0038275,-80.9632552
Winder,GA,33.99765592,-83.71113858
Winston,GA,33.66361376,-84.84347507
Winterville,GA,33.95711948,-83.26879357
Woodbine,GA,30.90203321,-81.67481834
Woodbury,GA,32.97537437,-84.59294216
Woodland,GA,32.7944601,-84.55155748
Woodstock,GA,34.11354973,-84.50332582
Woodville,GA,33.66766014,-83.10767586
Woolsey,GA,33.46510418,-84.5007388
Wray,GA,31.63583556,-83.0470193
Wrens,GA,33.20553751,-82.37903208
Wrightsville,GA,32.71634299,-82.72030337
Yatesville,GA,32.91906447,-84.15448833
Young Harris,GA,34.95806997,-83.87094487
Zebulon,GA,33.09625847,-84.31723137